Origine	Destination	Valeur
1	1	60970,1697
1	2	46411,11082
1	3	18877,4385
1	4	812,3299026
1	5	618,9776993
1	6	487,9644966
1	7	923,5410156
1	8	3687,317318
1	9	7117,881849
1	10	4163,781544
1	11	13501,33822
1	12	8317,58918
1	13	11257,58467
1	14	4339,611832
1	15	1721,944786
1	16	6298,762886
1	17	4338,612625
1	18	1535,746807
1	19	172,1945953
1	609	299,2492981
1	610	3969,689507
1	611	390,6394959
1	612	576,5729065
1	613	921,768692
1	614	595,7103958
1	615	399,3951015
1	616	127,9598007
1	617	292,4496078
1	620	177,8265076
1	621	59,25450134
1	622	193,9220009
1	624	714,2885971
1	626	47,86880112
1	635	87,23619843
2	1	13450,6316
2	2	36534,52968
2	3	13756,46592
2	4	1458,980133
2	5	260,3154907
2	6	189,2646027
2	7	313,6891937
2	8	1031,005997
2	9	869,4821138
2	10	1804,683281
2	11	3863,874969
2	12	3522,073524
2	13	9642,534483
2	14	1721,440895
2	15	52,57030106
2	16	5881,021905
2	17	3614,009621
2	18	197,0298996
2	19	822,2084885
2	609	169,7427979
2	611	54,06159973
2	614	54,22169876
2	617	282,5187073
2	620	239,8325958
2	635	694,7620239
3	1	4088,17922
3	2	9282,475676
3	3	9525,579184
3	4	1282,388313
3	5	377,6807976
3	7	423,2886047
3	8	1246,495209
3	9	1870,361179
3	10	1280,927391
3	11	1304,986305
3	12	1941,065092
3	13	4847,358398
3	14	3421,053421
3	15	616,2792969
3	16	3210,092873
3	17	4032,918121
3	18	1250,722214
3	19	180,0143967
3	609	116,3635025
3	612	433,5343094
3	616	77,20589829
3	620	126,9014025
3	622	129,7912025
3	624	178,0218048
4	1	7262,634348
4	2	12765,25172
4	3	12864,69098
4	4	8587,823429
4	5	663,0289078
4	6	526,8234024
4	7	1098,345615
4	8	3449,368011
4	9	3440,700359
4	10	3456,137398
4	11	2151,431688
4	12	3255,849507
4	13	7006,195236
4	14	5911,823355
4	15	4032,814911
4	16	8063,40654
4	17	6233,627388
4	18	1840,665295
4	19	1359,890411
4	611	125,1155052
4	612	274,0572968
4	620	307,5948944
4	622	60,44200134
4	624	346,2192039
4	626	93,27159882
5	1	7128,16923
5	2	8636,601614
5	3	7048,402536
5	4	1639,439909
5	5	8051,395201
5	6	882,4198036
5	7	1151,55818
5	8	4597,098598
5	9	3678,929131
5	10	2586,829098
5	11	1448,502687
5	12	2370,371914
5	13	5438,882097
5	14	4311,827003
5	15	1613,852692
5	16	5019,000011
5	17	2331,026688
5	18	2302,844889
5	19	2969,86639
5	609	46,89799881
5	610	96,17579651
5	611	95,35620117
5	622	87,55570221
5	624	90,4477005
5	626	81,40440369
6	1	4206,836794
6	2	6382,357609
6	3	6588,649303
6	4	911,3002014
6	5	1732,409409
6	6	3898,545341
6	7	1497,064367
6	8	3420,562492
6	9	4575,626118
6	10	1855,456303
6	11	1555,517984
6	12	2600,038986
6	13	5215,82589
6	14	3832,006607
6	15	982,4405899
6	16	5741,621597
6	17	3122,561577
6	18	1297,46669
6	19	1425,031303
6	611	376,1407013
6	612	156,8937073
6	613	35,35279846
6	614	164,2648926
6	616	63,67409897
6	620	83,91239929
6	621	137,311203
6	624	832,8322067
6	635	62,00249863
7	1	8096,726927
7	2	8141,982706
7	3	8869,693901
7	4	1631,223095
7	5	852,6231232
7	6	1845,813816
7	7	17654,40098
7	8	16434,16191
7	9	7932,655918
7	10	6777,356812
7	11	4968,603626
7	12	6375,546825
7	13	8046,08674
7	14	6216,329437
7	15	2575,7841
7	16	11879,736
7	17	1889,017399
7	18	1450,979492
7	19	2393,847492
7	610	160,6678009
7	611	436,6134949
7	613	116,3635025
7	616	79,4539032
7	620	241,5227051
7	621	250,3184052
7	622	61,2356987
7	624	2410,018227
